2020-09-01 15:15:20,748 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 15:25:20,750 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 15:35:20,751 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 15:45:20,751 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 15:55:20,752 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 16:05:20,753 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 16:15:20,754 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 16:25:20,756 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 16:35:20,757 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 16:45:20,758 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 16:55:20,760 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 17:05:20,761 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 17:05:28,731 INFO - Checking subscription status.
2020-09-01 17:05:28,744 ERROR - Error getting properties: Could not find file '/app/Configuration/status.json'..
2020-09-01 17:05:28,751 INFO - Saving subscription status.
2020-09-01 17:05:29,090 ERROR - Failure presented in integration/import configuration: Cannot get the object: Could not find file '/app/Configuration/status.json'..
2020-09-01 17:05:29,430 INFO - Saving to integration log.
2020-09-01 17:05:29,621 ERROR - Event: Value cannot be null. (Parameter 'entity').
2020-09-01 17:23:32,983 INFO - Receiving data: {
    "data":
        {
            "links": {
                "self": {
                    "href": "doc-fms-dev-01.dev.telensa.uk.net:8666/api/faults/5f03076b85b4b9000189152f"
                }
            },
            "type": "fault",
            "id": "6f03076b85b4b9000189152e",
            "attributes": {
                "assetId": "A192",
                "externalAssetId": "A7",
                "elementId": "7",
                "time": "2019-09-12T10:56:15.000Z",
                "name": "MISSINGDATA",
                "sourceApplication": "planet",
                "addedProperties": {
                    "nlcId": 2844202,
                    "outstationId": 11,
                    "faultId": 16597
                },
                "additionalData": {
                    "nlcInfo": {
                        "rssi": -92,
                        "baseIdent": 2,
                        "baseDescription": "Base2",
                        "location": {
                            "latitude": 32.08372,
                            "longitude": -81.101798
                        }
                    },
                    "assetInfo": {
                        "assetField2": "unit number",
                        "assetField4": "additional info",
                        "assetField5": "assetField5",
                        "assetField6": "assetField6",
                        "customer": "GP",
                        "operator": "System Administrator",
                        "assetField7": "GP633723748",
                        "location": {
                            "assetLatitude": 32.083722,
                            "assetLongitude": -81.101798
                        },
                        "assetField1": "Locksters Lane",
                        "assetField3": "Clifford"
                    },
                    "accountInfo": {
                        "energyAccount": "Telensa",
                        "energyField1": "E132",
